,3D EPE,axis error,trans error,total frames,keyframe,trajectory
fr1/rgbd_dataset_freiburg1_xyz_keyframe_1,0.5723431051830599,0.44007480960027445,0.7376411405271177,794,1,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_2,1.0044353163563025,0.8273892499156614,1.3776139953447581,397,2,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_3,1.5255770604143795,1.1458045587129666,1.6669591852956782,264,3,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_4,2.0844400915637085,1.4308923459993963,1.680142525995075,198,4,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_5,2.5107842336609205,1.6935207868187145,1.717924436147596,158,5,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_6,3.1355722641544133,2.0028201042687326,1.6789045502787991,132,6,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_rpy_keyframe_1,0.7784269548520991,0.4024839991892957,0.260727146351553,697,1,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_2,0.9107357754616933,0.4884379316171766,0.5087990886980036,348,2,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_3,0.9068716988308708,0.5420098141219248,0.7340592941357593,232,3,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_4,1.3185045942824718,0.7412882739768478,0.9725255767236752,174,4,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_5,1.5528452452004171,0.9128174289194804,1.1772284293446769,139,5,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_6,2.1090236875822703,1.2483934010681967,1.262596499170819,116,6,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_360_keyframe_1,1.0382094983840224,0.3871001445001829,0.7572499300586448,749,1,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_2,1.2633454174744614,0.6063697099848663,1.4734034480515836,374,2,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_3,1.4422054678373728,0.8085395538564975,1.854018411827255,249,3,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_4,2.190335361750169,1.033358560934014,1.8414895667166593,187,4,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_5,2.7571066954616934,1.3202428247559765,1.8631806581487391,149,5,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_6,4.537171414948158,2.133171081239075,1.7305447402665572,124,6,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_teddy_keyframe_1,1.372256312348944,0.4487789691695616,0.979727140627471,1409,1,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_2,1.9803013386494552,0.6731734098189925,1.5507637371311749,704,2,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_3,2.4248280735718195,0.8501306398622451,1.7451726369433669,469,3,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_4,3.2450086980878208,1.0989943984371127,1.802524449513757,352,4,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_5,3.9097863151708427,1.344054673663695,1.7313728826447785,281,5,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_6,4.498342043744065,1.6023909516843264,1.7492976139148333,234,6,fr1/rgbd_dataset_freiburg1_teddy
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_1,0.6865043387559521,0.24571581466573864,0.413779261650773,3581,1,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_2,0.911288355854691,0.3753670387547422,0.8056364299348353,1790,2,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_3,1.0953880162304228,0.4896563129155431,1.137613980109073,1193,3,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_4,1.381433001610804,0.6183754203642989,1.3708466788233251,895,4,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_5,1.5587696471796553,0.7061483060941801,1.49483945288672,716,5,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_6,1.7621941217467432,0.7871820288264068,1.6462292513316799,596,6,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_rpy_keyframe_1,0.2810707699925931,0.09955734171118427,0.0459724749408308,3206,1,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_2,0.3600115531521207,0.12977025763736116,0.08386225209317004,1603,2,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_3,0.42147160199150785,0.15405352499752867,0.12168316666333007,1068,3,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_4,0.45665775571941636,0.16743821928653452,0.162398350491234,801,4,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_5,0.49297082054104757,0.1857267072763979,0.20264423224595,641,5,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_6,0.5390088947950723,0.20528305034042874,0.24130671910607182,534,6,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_1,1.1586385825525336,0.29729693524406364,0.2692058965418216,2214,1,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_2,1.2624003270145336,0.3292200340861266,0.4268291159871477,1107,2,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_3,1.3865250059023946,0.38638119672973714,0.5456490800724464,738,3,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_4,1.4628064525168418,0.4096637986978074,0.6356472778618237,553,4,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_5,1.6512516175948,0.49305451240595577,0.6817344354442362,442,5,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_6,2.049288189763943,0.6323670340321592,0.773587789351058,369,6,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_1,0.589094527444362,0.2243496789163686,0.456602076361477,789,1,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_2,0.8458591425888297,0.34915861204507265,0.8983277538460371,394,2,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_3,1.1018701847607248,0.4513545116248391,1.2328444210548632,263,3,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_4,1.374001832629275,0.5462663082693078,1.4595168609311568,197,4,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_5,1.65400677538554,0.6197286438064132,1.5291723873908187,157,5,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_6,2.078096480073251,0.7329897239504106,1.4286059548523817,131,6,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_1,0.5819169094851054,0.31670936152972884,0.42509709398558715,1053,1,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_2,0.8008817700910853,0.49677678827203586,0.8390230162968819,526,2,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_3,1.0094860305796056,0.6557466700207789,1.143170074126756,351,3,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_4,1.2897787434172892,0.8024626289799686,1.409777883947526,263,4,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_5,1.6077628379987021,0.9229954165153673,1.5377819217142783,210,5,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_6,1.9653949667699635,1.060153205033414,1.5166218762086439,175,6,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_1,0.9846673848135679,0.2758015484781932,0.6010657576103272,825,1,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_2,1.2915191169120643,0.36479966792399904,1.0863691003816836,412,2,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_3,1.634370986541564,0.45666781077961777,1.3268403135324744,275,3,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_4,2.0844530488264934,0.5796336513572257,1.362419489987146,206,4,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_5,2.6799711642899746,0.7705050173574358,1.3758176263195998,165,5,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_6,2.882861727032892,0.9124847902491788,1.4100404180939834,137,6,fr3/rgbd_dataset_freiburg3_walking_xyz
mean values of trajectories keyframe 1,0.804312838381224,0.31378686030045916,0.4947067918655604,,1.0,
mean values of frames keyframe 1,0.7522848794934907,0.27078187885178945,0.4076482535198445,,1.0,
mean values of trajectories keyframe 2,1.0630778113555237,0.4640462700056035,0.9050627937765275,,2.0,
mean values of frames keyframe 2,0.9764520218291708,0.39094606551597166,0.7392079610139314,,2.0,
mean values of trajectories keyframe 3,1.294859412666066,0.5940344593621678,1.1508010563761002,,3.0,
mean values of frames keyframe 3,1.1727280696481932,0.49717203729387327,0.9546663110086941,,3.0,
mean values of trajectories keyframe 4,1.688741958040429,0.7428373606302514,1.269728866099138,,4.0,
mean values of frames keyframe 4,1.4752638728511935,0.6127965721926814,1.0789836504622932,,4.0,
mean values of trajectories keyframe 5,2.0375255352483594,0.8968794317613616,1.3311696462287395,,5.0,
mean values of frames keyframe 5,1.7408238490305858,0.7291354854630969,1.141513181492336,,5.0,
mean values of trajectories keyframe 6,2.5556953790610772,1.131723537069233,1.3437735412574827,,6.0,
mean values of frames keyframe 6,2.1111366496860193,0.8898518601482904,1.1904222314590482,,6.0,
